file,width,height,dimensions,ratio,ratio_decimal,status
src/assets/people at zigma/office/49_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
src/assets/people at zigma/office/5.jpg,1200,800,1200 x 800,3:2,1.5,ok
src/assets/people at zigma/office/50_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
src/assets/people at zigma/office/56_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
src/assets/people at zigma/office/58_result.webp,4082,6123,4082 x 6123,2:3,0.666667,ok
src/assets/people at zigma/office/59_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
src/assets/people at zigma/office/60_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
src/assets/people at zigma/office/61_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
src/assets/people at zigma/office/65_result.webp,6123,4082,6123 x 4082,3:2,1.5,ok
src/assets/people at zigma/office/69_result.webp,3264,2448,3264 x 2448,4:3,1.333333,ok
